ID	popLabel	validGT	missGTAdj	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20
LUN123	LUN123	168595	1.0000	8707.804	1831.328	1782.540	5203.976	5390.132	-402.126	-547.719	1483.899	1473.890	2599.863	1803.653	4410.112	-1551.536	2074.949	-4166.827	-1770.396	-2575.818	81.160	34.450	-112.687
LUN124	LUN124	168595	1.0000	1963.932	2437.617	-826.282	-311.848	3720.645	-3065.400	2191.471	-6786.943	-555.971	-2209.875	1176.554	2740.444	-2388.593	-1872.676	3101.153	3556.389	2898.860	3119.624	1202.036	-2939.004
LUN125	LUN125	168595	1.0000	-2447.862	7416.829	373.323	-3408.154	63.839	-3282.822	1231.027	-216.236	-1242.642	-2539.593	1184.747	-1540.741	431.653	364.225	1775.123	-4675.726	-804.531	1293.953	1790.921	-2017.746
LUN126	LUN126	168595	1.0000	9548.983	-4576.842	-8765.433	3712.681	463.424	1000.374	-1773.384	2579.532	-4642.199	2971.577	1203.507	561.337	-2620.048	3251.024	-4930.194	-3811.214	-526.721	2276.912	-608.324	1361.222
LUN127	LUN127	168595	1.0000	8011.483	-2801.926	-4001.414	2924.603	1564.182	-1016.405	-645.983	-1655.691	-1493.090	625.720	-1607.380	-911.158	281.734	1530.413	-6492.520	1343.638	4681.252	-841.684	-3707.796	566.630
LUN128	LUN128	168595	1.0000	7715.249	2504.133	1246.586	1863.638	3725.668	-65.318	707.918	-161.022	-1669.999	-3362.705	-2315.540	-3323.587	-4234.642	1876.014	3514.715	599.269	2405.356	3940.023	-2044.511	-810.931
LUN129	LUN129	168595	1.0000	7647.026	4397.401	-1465.405	3884.946	3716.830	-2370.951	-1274.871	1376.670	-1558.935	3286.605	937.666	-1085.272	135.755	3996.021	1126.162	714.117	794.408	3695.062	3747.458	5291.917
LUN130	LUN130	168595	1.0000	12348.253	729.792	377.345	4308.542	2391.436	-1406.769	-1974.623	2186.728	-1868.047	-727.647	38.427	299.993	3342.576	3410.038	5953.303	427.067	1536.436	6945.026	1686.397	280.035
LUN131	LUN131	168595	1.0000	2551.023	5246.034	734.090	-546.442	1876.153	-1278.559	175.019	2407.252	879.279	1672.269	-1166.173	575.456	1677.641	-1998.557	2517.826	1337.247	-718.607	2138.408	-81.094	-1389.697
LUN132	LUN132	168595	1.0000	11440.291	-2897.487	-3029.554	272.388	3177.578	35.125	-2278.906	2159.720	1268.880	-1909.284	2978.439	-1764.784	-451.203	4892.654	3453.388	2889.465	-2458.482	-1778.451	3217.087	3587.195
LUN133	LUN133	168595	1.0000	6852.847	1693.839	-205.651	3202.745	3779.851	-3476.087	-1396.193	23.075	2636.897	2487.937	-2652.728	1336.787	-144.718	-1897.117	-288.758	5807.498	-3261.213	8159.918	-396.416	-1032.435
LUN134	LUN134	168595	1.0000	7508.435	6356.681	4663.093	3709.409	2696.506	-6490.656	1186.619	-4580.079	263.542	2285.142	-2631.225	5334.306	2912.725	-316.408	-1943.292	3051.634	2806.487	-3859.069	-1918.597	-3416.333
LUN135	LUN135	168595	1.0000	12109.789	703.084	1570.200	2691.007	5291.429	-1275.165	-3466.873	6203.211	-1508.112	-3612.159	323.131	1149.879	2573.954	980.032	2163.209	920.726	0.718	-5549.513	701.349	-2922.557
LUN136	LUN136	168595	1.0000	10222.810	1469.430	2005.811	2259.480	5537.563	-1088.848	-3032.065	5036.232	-176.442	-2046.076	-2906.455	-1360.393	5896.481	2917.920	-1433.159	1337.903	-1962.245	709.626	-2828.145	-3705.819
LUN137	LUN137	168595	1.0000	3049.062	6771.883	-287.435	524.935	-3559.772	-4884.274	-1157.592	157.375	2066.651	1523.909	2621.141	2390.376	-6271.943	-1741.182	3948.554	3801.254	1547.541	2725.529	-3283.829	-3520.769
