ID	popLabel	validGT	missGTAdj	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20
Abkhazian:abkhazian6_1m	Abkhazian	168381	1.0013	-32557.103	-20811.932	13990.595	23073.952	-7731.256	-939.534	-12504.145	-4620.212	-12675.391	-7882.249	-10285.322	7317.172	-3279.777	2112.397	7093.486	5761.835	-4808.377	3619.754	4318.016	-1883.688
Adygei:HGDP01381	Adyghe	168301	1.0018	-23912.081	-20558.462	14963.118	19618.69	-8924.903	-2552.393	-13450.7	-1826.312	-7039.612	-1309.12	-2170.863	10140.133	-4861.057	6498.019	-1554.969	-4029.894	2853.98	-2471.316	189.054	-11223.135
Adygei:HGDP01382	Adyghe	168510	1.0005	-26702.162	-18873.671	11983.141	23390.526	-7538.635	-1636.314	-11089.738	-7371.568	-9039.154	-7829.02	-289.524	1395.006	514.538	-2893.898	2945.796	-3258.217	-1466.683	1079.484	2496.858	-4122.915
Adygei:HGDP01383	Adyghe	168576	1.0001	-27375.926	-20065.842	12509.071	18311.545	-6431.586	-2786.462	-12642.9	-3240.676	-10397.182	-6513.335	-3392.737	5914.927	233.884	-49.366	-1247.709	-1790.381	2230.337	-358.281	-9279.941	1472.496
Adygei:HGDP01384	Adyghe	168581	1.0001	-22658.957	-25262.297	15596.609	17112.582	-6864.221	-4579.299	-11822.743	-3559.014	-8773.192	4888.907	-6927.002	7440.274	-5497.441	4306.122	-1661.894	-3113.886	-1060.093	2124.394	-3830.46	617.751
Adygei:HGDP01385	Adyghe	168571	1.0002	-26415.721	-22171.225	11806.467	20913.529	-7562.071	-3845.862	-11586.384	-4144.062	-8112.533	-2443.597	-3793.026	5129.942	-8853.224	-1690.932	-6193.69	-7343.663	-994.063	5447.802	2771.841	-1113.931
Adygei:HGDP01386	Adyghe	168588	1.0001	-30159.993	-18934.018	14800.945	18671.11	-7581.78	-4001.875	-10332.076	-3065.086	-9844.711	-6812.411	-2212.788	4153.479	-3524.578	1369.797	-1237.116	-4590.062	-2427.328	-602.196	-3117.313	-5312.694
Adygei:HGDP01387	Adyghe	168563	1.0002	-28493.369	-18380.093	13475.488	21256.973	-8845.461	-4533.999	-9922.375	-4430.942	-8802.991	-4661.79	-3430.625	10643.279	-2217.937	-2814.315	5818.376	-3517.447	-3648.62	1561.879	-91.92	-9355.074
Adygei:HGDP01388	Adyghe	168573	1.0002	-12206.806	-21437.934	6708.402	11130.231	-7639.814	-3086.766	-8673.941	-1138.83	-3480.601	5660.794	-3219.772	4019.183	-7059.625	6269.357	3583.023	333.497	496.035	-2917.904	-4665.893	-5524.114
Adygei:HGDP01396	Adyghe	168570	1.0002	-18321.885	-18811.712	9076.509	17753.629	-9359.053	-5543.05	-7172.235	-43.212	-7057.979	2325.565	-4344.021	3243.207	-1259.924	-1525.522	-1672.493	-4514.475	-2325.408	930.488	-2071.439	-5324.234
Adygei:HGDP01397	Adyghe	168585	1.0001	-25185.552	-22348.607	13513.579	20261.848	-7935.496	-4511.391	-14484.884	-3286.503	-9957.749	2869.497	-2533.473	6773.4	-5424.808	989.827	-646.243	-1649.417	7316.495	1536.779	-10647.791	-843.731
Adygei:HGDP01398	Adyghe	168549	1.0003	-28848.714	-19377.001	13782.297	22787.152	-7653.157	-3588.46	-10188.547	-3773.085	-6039.036	-3076.113	-2882.438	2882.113	-948.029	2524.182	-2776.392	-5550.452	-1540.459	435.556	-3557.556	-6894.088
Adygei:HGDP01399	Adyghe	168566	1.0002	-27406.708	-18594.721	15640.644	21769.805	-9197.328	-2353.773	-7995.527	-3318.511	-5322.12	-8250.425	-4305.265	9488.068	-5352.301	-143.498	3770.404	-3464.448	-528.651	4769.387	-1381.54	-951.231
Adygei:HGDP01400	Adyghe	168571	1.0002	-27496.864	-19672.834	15324.747	21196.123	-8426.601	-3558.636	-10088.096	-5912.479	-7546.447	-5031.217	-4690.903	6710.162	-5537.314	-5016.384	3101.718	-2328.402	1904.958	5514.593	-6477.52	-1211.876
Adygei:HGDP01401	Adyghe	168582	1.0001	-28113.574	-19371.481	14273.353	21475.951	-8597.974	-4766.728	-11237.247	-3402.639	-6233.081	-7609.217	-6321.938	5100.391	-4180.873	-5569.808	3643.426	903.954	274.325	5197.356	809.042	3183.85
Adygei:HGDP01402	Adyghe	168558	1.0002	-26451.581	-19211.789	9831.03	18570.641	-10273.863	-4998.672	-11034.671	-6839.166	-11745.907	-3296.852	-2755.384	2353.901	-954.202	-1620.604	-2397.946	-3669.773	-2784.902	1884.95	1060.482	-1567.28
Adygei:HGDP01403	Adyghe	168533	1.0004	-27667.597	-18291.334	10247.549	18604.993	-8173.278	-2913.964	-10599.44	-5831.187	-8160.082	-4939.946	-2785.669	3885.626	-324.798	-1869.148	1200.294	-2332.131	-2246.669	3863.033	-2979.948	5759.71
Adygei:HGDP01404	Adyghe	168585	1.0001	-26494.178	-22226.472	15914.227	20190.127	-9433.827	-4139.279	-12890.087	-3919.354	-12991.99	246.346	-5051.576	8001.131	-4574.248	3408.587	-103.752	-4364.156	2118.73	-3232.01	-2554.669	-16381.086
Albanian:AL9	Albanian	168488	1.0007	-20820.473	-3837.593	-4036.039	-2266.669	2586.403	-272.145	7512.296	183.246	-5439.085	3351.692	8184.762	5299.181	507.016	-1412.671	-3148.237	479.259	2253.72	-8416.423	-4024.69	-1224.358
Albanian:AL12	Albanian	168454	1.0009	-20712.738	-2782.798	-3871.958	-4222.905	4349.922	3434.057	8839.651	902.478	-10524.619	2271.011	12353.978	4256.959	5554.708	-1042.942	-8822.524	5972.173	-1131.374	-2129.69	-6724.611	-1395.415
Albanian:AL17	Albanian	168505	1.0006	-22537.611	-4484.775	-3832.48	-1492.8	4950.225	1018.141	7112.852	192.883	-3131.025	-1529.484	7193.801	396.452	2087.522	1492.094	-1042.058	532.702	5355.708	-652.305	-1797.514	-2844.993
Albanian:AL29	Albanian	168472	1.0008	-24641.381	-2332.507	-5437.165	-2806.02	2639.194	2728.053	7362.039	3123.336	-7289.641	4256.048	9848.171	4445.082	-2066.138	-2342.829	-2942.388	1449.373	-345.425	-2778.616	-3286.691	-1816.791
Albanian:AL82	Albanian	168503	1.0006	-17803.509	-8063.171	-3789.554	-1314.655	3473.84	3059.111	4773.921	1784.196	-6653.061	2819.813	6746.47	672.77	2067.25	630.747	-8193.416	1534.981	1895.277	1459.473	-5524.246	-991.645
Albanian:AL98	Albanian	168449	1.0009	-22480.028	-5604.504	-3466.322	-829.146	4624.772	3088	8301.702	445.914	-11726.954	3395.322	11554.793	6710.986	-2307.697	2038.914	-1897.14	6586.085	-6049.741	-4954.208	3883.126	882.541
Armenian:arm3	Armenian	168500	1.0006	-40251.559	-13504.482	10886.24	10542.907	2050.161	-71.633	7217.733	2343.732	4380.562	-1200.503	-11.132	-3328.704	590.439	4704.51	-2613.798	5248.091	5937.673	554.046	-5003.198	3824.729
Armenian:arm4	Armenian	168491	1.0006	-39083.353	-16348.628	11247.246	16404.191	-864.463	-1099.297	798.748	-371.206	5837.85	-4515.84	2885.082	-2412.857	149.909	1729.089	-5785.365	4001.979	527.486	-4008.622	-1045.584	8559.311
Armenian:arm5	Armenian	168590	1.0001	-42189.158	-14431.425	11329.35	11872.025	621.839	-1905.354	2476.73	1676.633	3625.111	-9014.034	1664.559	718.552	-2069.589	1519.401	-4234.261	355.017	-3834.254	-793.702	-260.803	-468.555
Armenian:arm6	Armenian	168589	1.0001	-40647.004	-12407.441	11295.349	12720.022	-226.364	-1990.476	-674.678	1988.932	-1895.885	-3661.556	-2631.601	1291.959	1630.967	-5208.091	1517.76	543.421	-184.094	-2255.005	5029.191	4457.896
Armenian:arm7	Armenian	168589	1.0001	-15889.608	-16899.615	3887.986	6208.354	-2210.033	1168.386	-1058.348	-141.662	6479.503	9602.022	1621.142	-2746.69	-2802.056	4157.066	-4906.084	1273.29	33.974	4922.75	-1968.312	6267.619
Armenian:arm8	Armenian	168581	1.0001	-40876.843	-12315.784	10366.876	8561.79	921.12	1549.269	29.62	3268.794	7372.832	-5443.582	-2130.019	-726.185	-2603.422	-381.862	-654.656	1572.09	5159.66	-3130.263	-340.27	3380.855
Armenian:arm9	Armenian	167698	1.0054	-39089.428	-15714.413	12290.259	12745.781	-654.978	142.899	1849.411	-742.203	7342.028	3931.413	1643.388	-4103.94	-1685.769	-3902.971	-2472.113	3491.782	2769.703	3845.087	363.802	746.605
Armenian:arm10	Armenian	168577	1.0001	-40432.183	-13641.751	11677.002	13608.581	-1684.856	-1969.007	294.803	-127.584	6356.917	-3023.546	-2365.785	691.922	508.486	2012.495	-606.035	4119.237	1965.259	-1560.976	478.522	776.95
Armenian:arm11	Armenian	168591	1	-38738.447	-14352.432	9440.092	11477.61	-686.228	1221.473	671.02	3938.688	7755.172	-5407.901	2620.146	-2787.319	511.653	976.738	-2193.681	-2843.62	-1197.937	-647.677	2885.526	-1122.014
Armenian:arm12	Armenian	168577	1.0001	-41703.885	-16502.232	9974.239	14390.346	461.306	-1523.187	-4187.513	-73.256	1371.724	-10562.371	-2751.615	2795.284	1927.228	-1385.481	-5468.818	5063.953	408.677	-1405.307	1525.017	9218.346
Armenian:arm13	Armenian	168591	1	-31091.895	-15787.906	5376.843	11125.873	-1551.441	-1291.985	-1508.892	-2522.619	-2575.846	-3959.68	-5396.362	3515.198	1688.333	-3551.698	-945.976	8699.789	-1840.616	3029.555	-7845.901	8344.822
Armenian:arm14	Armenian	168593	1	-13642.673	-16844.111	-1030.311	6166.713	-2452.81	-1165.784	1114.022	1202.907	-544.958	-1543.155	4868.803	1885.833	-3237.446	-1367.416	2480.494	-632.143	618.017	1059.67	1001.238	7045.303
Armenian:arm17	Armenian	168593	1	-40115.544	-13411.383	10282.68	12555.59	2405.328	-1010.432	2915.818	-1922.551	7044.158	-1674.238	-1395.016	4546.842	488.587	-1417.149	-1944.199	-2886.687	4428.351	-266.263	-7558.503	7043.152
Armenian:arm18	Armenian	168365	1.0014	-41883.056	-15775.726	9985.44	10818.033	1227.378	75.276	4022.571	3592.599	1127.482	-8008.374	1235.57	1416.356	6640.408	-2029.762	2915.213	3938.361	4757.539	-1867.958	4906.863	3015.469
Armenian:arm19	Armenian	168593	1	-40257.227	-14683.949	11806.623	14226.767	220.711	695.148	455.979	3125.126	8719.392	-106.974	92.884	-106.74	2827.664	-2907.127	-5778.326	-3901.594	2489.542	5208.098	-6638.4	-1326.835
Armenian:arm20	Armenian	168547	1.0003	-39511.079	-15497.394	11368.913	15220.743	814.799	-2594.908	-2345.866	-2855.053	-1253.34	-7194.405	1915.589	-944.681	-869.762	-3478.556	-3121.8	2960.051	-891.365	2140.743	1433.371	-316.888
